[Thu Sep 24 23:15:36.131 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:15:54.336 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:18:35.324 2009] 0.055 sec [scan/2/rel 107 (0,12)] [*] 
[Thu Sep 24 23:18:40.946 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Thu Sep 24 23:18:42.694 2009] 0.062 sec [ext/2/rel 4 (0,12)] [*] @sex 2 @age 1
[Thu Sep 24 23:18:44.338 2009] 0.049 sec [scan/2/rel 43159 (0,12)] [*] 
[Thu Sep 24 23:18:45.957 2009] 0.000 sec [ext/2/rel 4 (0,12)] [*] @sex 2 @age 1
[Thu Sep 24 23:18:51.633 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Thu Sep 24 23:18:53.036 2009] 0.000 sec [ext/2/rel 4 (0,12)] [*] @sex 2 @age 1
[Thu Sep 24 23:18:54.095 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Thu Sep 24 23:18:58.023 2009] 0.000 sec [ext/2/rel 4 (0,12)] [*] @sex 2 @age 1
[Thu Sep 24 23:19:00.094 2009] 0.004 sec [scan/2/rel 43159 (0,12)] [*] 
[Thu Sep 24 23:19:01.822 2009] 0.000 sec [ext/2/rel 4 (0,12)] [*] @sex 2 @age 1
[Thu Sep 24 23:19:03.406 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Thu Sep 24 23:19:11.631 2009] 0.013 sec [all/2/rel 0 (0,12)] [*] bar
[Thu Sep 24 23:19:19.104 2009] 0.021 sec [all/2/rel 1 (0,12)] [*] drink
[Thu Sep 24 23:19:21.257 2009] 0.000 sec [all/2/rel 1 (0,12)] [*] drink
[Thu Sep 24 23:19:23.403 2009] 0.000 sec [all/2/rel 1 (0,12)] [*] drink
[Thu Sep 24 23:19:27.395 2009] 0.001 sec [all/2/rel 0 (0,12)] [*] e
[Thu Sep 24 23:19:29.455 2009] 0.001 sec [all/2/rel 0 (0,12)] [*] e
[Thu Sep 24 23:19:44.766 2009] 0.000 sec [all/2/rel 0 (0,12)] [*] e
[Thu Sep 24 23:19:46.572 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Thu Sep 24 23:19:49.623 2009] 0.004 sec [scan/2/rel 43159 (0,12)] [*] 
[Thu Sep 24 23:19:57.524 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Thu Sep 24 23:19:59.634 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 2 @age 1
[Thu Sep 24 23:20:07.583 2009] 0.004 sec [scan/2/rel 43159 (0,12)] [*] 
[Thu Sep 24 23:20:17.121 2009] 0.002 sec [all/2/rel 1489 (0,12)] [*] bar
[Thu Sep 24 23:20:55.032 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:20:55.128 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:21:09.772 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:24:58.914 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:24:59.073 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:25:14.674 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:26:31.265 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:26:31.422 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:26:44.120 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:27:57.460 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:27:57.629 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:28:12.014 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:44:59.008 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:44:59.172 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:45:15.449 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:51:19.529 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:51:19.627 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
